relative_path,size_bytes,sha256
R3_GATE.json,782,0a98879650211eb587730d8446599edb26e8a2402b6ca16b3a152a51514799b6
README_R3_VI.md,470,4e4f28c6b20fe3c629916aaaf23f1de104c5a7ac334b1161a5207dd3450fec05
amendment/STEP7_TO_STEP7B_AMENDMENT_LOG.json,2182,e627bf5889b958b339f2367a5982b1abd0e96b1ed791c48d90607b510c2ca202
code/__pycache__/r2_locked_method.cpython-313.pyc,14940,288587b897336cb3cb75c14d86a697c2619a91f5162ec8f2fee8f059ac90ea17
code/r2_locked_method.py,8068,26cdd783ea8af8e5157a0e781ed9c22ddca900372ed2191e8ca9618b344fdb37
config/R2_METHOD_LOCK.yaml,2626,5e90e045e9ede2bdbe2a4678a5774dc34d920283d9e04179de159449d1b642bb
config/R3_PROTOCOL_LOCK.yaml,5044,0961c428a58899708547b6c8ca9deed4a4cf45b6f797929290719ef70b267cb3
docs/R3_BASELINE_DEFINITIONS.md,1243,c503fd5feb4cba1e39cd9a8a08411bab1b6fea4b930ce50ffe22e0b52ed16c6c
docs/R3_PRIVACY_METADATA_ENCODING.md,948,9468e0a4f841e0e0eba59a6939d3ba6c8d176b52e797f65fa8737e12bd4c9c9e
docs/R3_PROTOCOL_SPECIFICATION_VI.md,1677,12ffd2a5a16eab0add4e042fc6bd64f9c37595dadd812fccfe13aadc2ddb93ec
docs/R3_STATISTICAL_ANALYSIS_PLAN.md,1935,024ceefb6b1400311bf2a0aaa1d727b58d5e3cd5da56f7f1e86e1e644fe64d91
manifests/R3_FEATURE_SENSITIVITY_CELL_MANIFEST.csv,3089,ff1bd5d8b500a1f0e076ce5a38b0c41b4ce75a22ab620aefe4680fed72e4213e
manifests/R3_HETEROGENEITY_CELL_MANIFEST.csv,30901,1504a19114047e69ae7387883e0386c78da8f62dfeb9f8f9c3404bffa1c32307
manifests/R3_HYPOTHESIS_MANIFEST.csv,27424,f0a77cb2da5c2425652307328ab7f75b0da99133c9671a652a9cb4e8d4cad117
manifests/R3_METADATA_FIELD_ENCODING.csv,857,483d827f2a761c5ff07e86bc726905b02a6d9b6c512d68b5739b554eed6e1338
manifests/R3_NATURAL_PARTITION_CELL_MANIFEST.csv,12823,6d4299e9f1591dc8c9e6b7fbc734afcebb752227ce4ab9f7ed64b9e8c955171d
manifests/R3_OOD_STRESS_CELL_MANIFEST.csv,8623,9b96b6e4921ade44f32c0f1e53c366c206ff047aba93ca0b714140d5acb0bd71
manifests/R3_PRIMARY_CELL_MANIFEST.csv,132905,b7e4211f813c959e161c09a5dd8d22f9e383265dc6654f9001f63b781e6ae8eb
manifests/R3_PRIVACY_CELL_MANIFEST.csv,103369,941a4389b95d58be64742d046ffeca850ede0c6753e8cd5383acdf736038a573
manifests/R3_REQUIRED_OUTPUT_SCHEMA.csv,2382,aa60769eadf6b88ebee4dcbc1dcfa6f9aa3e0ef45779aa64230c88eb2080d71b
manifests/R3_ROBUSTNESS_CELL_MANIFEST.csv,65001,0dc34578282399b470f3b80009227b2b341de3043bd69693abc23cbdd1831ba9
manifests/R3_RUNTIME_DEFINITIONS.csv,747,9e3f80b01b982ec703fe05087e0f31aa70f8301c38dd5b81c1fff3eeda67dd36
manifests/R3_THRESHOLD_ANALYSIS_MANIFEST.csv,10634,eaace1f402150a459138c00775056b1b8c10b2d72476bd0a0e28e17c7db04398
scripts/__pycache__/validate_r3_protocol.cpython-313.pyc,3624,4f8a2670fddcc34b89b1fd0a0b866c9d00237323e7953442c705b9e276f43695
scripts/run_r3_validation.ps1,71,120582e9d70e3856eb3b49c6742b5d29534599efed0d5a90715170510bd746c9
scripts/run_r3_validation.sh,78,4429c8bff5af5b2757fbe2b3f06547bb5fd3c78fcb8134c18100256300934d95
scripts/validate_r3_protocol.py,2181,463bbf8cdbfaa5cc1c01b416edad376aa550527c15bd576c0e8f2464e280146e
validation/R2_GATE.json,775,e8ba78acd23b8ba4a5b7fb20b26632794164847d1ff91daf5e2a6ce663ef2c0d
validation/R2_LOCK_CHECKSUM_RECORD.json,593,b054a451a2ddc917b71af49253efe6b3b897598a825044f80f493f859dad660a
validation/R2_R3_PYTHON_COMPILE_AUDIT.csv,340,d79b40d2dfb9602291bb9b5f0bdabebaf4ad0bc575beea686607ebe9e6f2d44f
validation/R2_TEST_OUTPUT.json,1133,6d23beb42953eca1cdaa1daf0a853e1ceb04f6afd33dba732e84e4a767f2fbe0
validation/R3_LOCK_CHECKSUM_RECORD.json,2343,4d36c04d349573e7c4092e4a7c7f90e5564a806ccff2cbc9d1f65c5ea22cf2c7
validation/R3_REVIEWER_59_GOVERNANCE_MAP.csv,2500,1def63007eb95650d05559f624391725681e163bce833c5a18084044435aa7e6
validation/R3_REVIEWER_REQUIREMENT_LOCK_MAP.csv,3079,cb5950bdbefa007a6bf5e270f5994094389faa5510e822c918c46eeb81e9d6d0
